,year,quarter,gross_domestic_product_zscore,personal_consumption_expenditures_zscore,gross_private_domestic_investment_zscore,exports_zscore,imports_zscore,government_consumption_expenditures_and_gross_investment_zscore,residual_zscore,gross_domestic_product_chg_zscore,personal_consumption_expenditures_chg_zscore,gross_private_domestic_investment_chg_zscore,exports_chg_zscore,imports_chg_zscore,government_consumption_expenditures_and_gross_investment_chg_zscore,residual_chg_zscore
148,1984,Q1,0.5420820119178199,0.42321548258682756,1.7706059518201653,-1.0153417789202006,1.6439862320292555,-0.07401349576579214,0.0947818251835463,1.0439410309570956,-0.09050991203372337,1.9531424511351017,0.4532732472845782,1.7000528897675748,0.622873388073869,0.0323544451600416
149,1984,Q2,0.8301322306707489,0.6093654703437912,1.8669203843221829,-0.7637136994195626,1.8628971598547703,0.19238291478460803,0.0787355113648696,0.7433992614934966,0.45625793290946265,0.1846534439735517,0.5175475880815692,0.44222458914285273,1.4998383310772043,-0.011097071227794216
150,1984,Q3,0.8184535910615446,0.5255669380162488,1.8100825112539525,-0.5712602778613721,1.8193333182252152,0.21236318593139725,0.07127067654081733,-0.00961483425204501,-0.21391820311280832,-0.12337034407589233,0.39763235533421243,-0.0884530591617971,0.225313824627412,-0.004905381328073743
151,1984,Q4,0.7565022544147428,0.661277469556308,1.312454056749154,-0.4139345422639792,1.8341380398113463,0.4419125953532409,0.04608587761255152,-0.1359158174383829,0.3310365764081281,-1.009899502909429,0.3264474125845312,0.02955787166606621,1.3092566344351366,-0.017690650957725755
152,1985,Q1,0.7542520143140758,0.9385468643649624,0.6994601110218617,-0.48851626981120483,1.0830877505501617,0.483418357441458,0.016776531926140623,0.014072300076778827,0.682471627711072,-1.2419254948409582,-0.14350439424944963,-1.5188657613656649,0.33664892542321195,-0.02066658488698541
153,1985,Q2,0.7202728461272246,0.8867093210553986,0.7188490726664841,-0.6146936440358537,1.4630238397516186,0.7070276654043022,0.032065788792320686,-0.06564084540528371,-0.1345716220801955,0.029938992612494088,-0.2480610439235564,0.7677890391441672,1.2785329777030074,0.01151210099449314
154,1985,Q3,0.9198624169942533,1.218606417320047,0.4453893005473112,-0.8783286173710051,0.9508617399527115,0.920422700194721,0.03710982363610314,0.5211580160529754,0.8180907519429649,-0.5590457827948369,-0.5266137312286551,-1.035876013989974,1.2257022600992973,0.004119990874989264
155,1985,Q4,0.8196255006837249,0.8652519279324322,0.7297624085056116,-0.5799002754485153,1.2028727951451015,0.7971639322667703,0.04362483129668981,-0.23210135428696704,-0.8831197593493559,0.5628818054332196,0.6123865707827779,0.5091472034044286,-0.5155534985232573,0.005181323955018389
156,1986,Q1,0.7978046089707969,0.8047615213164876,0.5335107466371481,-0.2879698810160967,0.8506328193122209,0.7511132605486919,0.03664290051147902,-0.03509539304255533,-0.1560532827108367,-0.4037628799419353,0.5992187230461703,-0.7125417109086903,-0.1162143523375526,-0.004556957465275488
157,1986,Q2,0.606428609229959,0.8336549329508496,0.15289463941298645,-0.27700273368736816,1.1608728734658742,0.9273611788864636,0.03357086176078937,-0.4610716805724466,0.0658516268591623,-0.7745613124477335,0.029857203412879736,0.6268759599475854,1.0335682936414605,-0.0017359007413346689
158,1986,Q3,0.6148272301687254,1.120057303901943,-0.2924056761848237,-0.11794856511768412,1.2284932001030768,1.1020101865673362,0.02422470400716341,0.04082562142910795,0.7051452199189762,-0.9046558272906189,0.32995001740502855,0.13634170136702956,1.0252983368895452,-0.006262789321317177
159,1986,Q4,0.47353862845316763,0.9318964946376129,-0.33406520180133487,0.20681522089385027,1.0003648458902445,0.8182222717327476,0.020852730750570894,-0.33523622736198494,-0.4730087418647442,-0.09284326803220383,0.6657543639775308,-0.4616099218253279,-1.3458494857389007,-0.001952308828092176
