"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4587,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4381,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2699,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.988,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8215,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8604,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0675,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2399,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.4186,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5613,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3643,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7363,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.84084,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.4166,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.51429,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.92109,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.217,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.293,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2094,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1196,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0455,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.96719,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.89741,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.80535,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.6866,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.65516,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.59972,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.52347,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.44529,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.32195,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.1262,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",98.97016,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.83861,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.745,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.86304,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.31196,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0385,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.522,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.5899,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.3959,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.1986,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.0926,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0519,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.0357,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0294,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0605,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2051,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.5565,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.0812,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.4208,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.4473,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",101.231,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",101.0147,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.8127,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.6277,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.4983,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.3757,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.2533,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.2893,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",100.6202,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",101.1718,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.4812,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.3792,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",100.9892,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.6745,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.5041,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.4126,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.3712,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.3243,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-10",100.2317,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-11",100.115,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-12",99.99606,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-01",99.85985,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-02",99.7731,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-03",99.71236,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-04",99.65066,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-05",99.61832,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-06",99.61044,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-07",99.61929,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-08",99.64211,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-09",99.67235,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-10",99.67682,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-11",99.56543,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1979-12",99.18675,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-01",98.59354,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-02",98.11307,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-03",97.7072,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-04",97.29864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-05",97.02265,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-06",96.86488,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-07",96.78316,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-08",96.71117,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-09",96.6401,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-10",96.53652,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-11",96.41344,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1980-12",96.27975,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-01",96.1091,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-02",95.97369,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-03",95.90649,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-04",95.88259,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-05",95.88638,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-06",95.93542,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-07",96.07665,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-08",96.18327,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1981-09",96.27585,
