,id,year,month,close_zscore,close_chg_zscore
60,199001,1990,1,-0.1911055397240322,
61,199002,1990,2,-0.15307827485898948,0.09508413546978828
62,199003,1990,3,0.035218977517652184,0.4587071919888979
63,199004,1990,4,-0.3026526082557446,-0.8145152547651994
64,199005,1990,5,0.5492910999499299,2.064597740811899
65,199006,1990,6,0.33133007539113224,-0.5243558856203206
66,199007,1990,7,0.176672239235057,-0.37117493954067715
67,199008,1990,8,-0.8661727557022177,-2.5204086939662886
68,199009,1990,9,-1.3248630680843505,-1.1068722009639491
69,199010,1990,10,-1.324593936133238,0.003717070588930219
70,199011,1990,11,-0.7296834158291228,1.4426292761881734
71,199012,1990,12,-0.489230641107882,0.5849130349742112
72,199101,1991,1,-0.10854633948932915,0.9242450418182687
73,199102,1991,2,0.49630248910751196,1.4666779774483056
74,199103,1991,3,0.6041581208891184,0.2640546972593065
75,199104,1991,4,0.4750411659523881,-0.30937115923189873
76,199105,1991,5,0.75243606258419,0.674305517836985
77,199106,1991,6,0.09880008987685253,-1.5786013734782907
78,199107,1991,7,0.469662988277539,0.9004792272565852
79,199108,1991,8,0.5540166989929525,0.20718478921129851
80,199109,1991,9,0.22921932946591272,-0.7828782888492662
81,199110,1991,10,0.25838835760191986,0.07364898951602204
82,199111,1991,11,-0.28141830977928145,-1.3031574168402977
83,199112,1991,12,0.7568085282264594,2.5153653369070126
84,199201,1992,1,0.39749187121395513,-0.8664080011503178
85,199202,1992,2,0.3865083093968321,-0.02351217837712563
86,199203,1992,3,0.055403703442006895,-0.7981405286753195
87,199204,1992,4,0.2614974310865282,0.5017710721377775
88,199205,1992,5,0.17748828421411744,-0.2002193631025541
89,199206,1992,6,-0.082098726408343,-0.6250823748796788
90,199207,1992,7,0.24846184659109505,0.8029557297844201
91,199208,1992,8,-0.08719204892838275,-0.8091488917149569
92,199209,1992,9,-0.053711066201182385,0.08408304979635754
93,199210,1992,10,-0.09273011190179968,-0.0913523939086639
94,199211,1992,11,0.14931786113173723,0.5887730930981029
95,199212,1992,12,0.16921947813996682,0.05122372405813027
96,199301,1993,1,0.15636283298641748,-0.028044662202971377
97,199302,1993,2,0.17932080736843384,0.058619492358073
98,199303,1993,3,0.28238511919554665,0.2524606694999078
99,199304,1993,4,-0.07204685602899856,-0.854588056587377
100,199305,1993,5,0.09409248183793513,0.405089508687452
101,199306,1993,6,0.026085337870625818,-0.1614977440811143
102,199307,1993,7,-0.09527778593082978,-0.2906084520284794
103,199308,1993,8,0.18787454126085748,0.6882373383724757
104,199309,1993,9,0.0014728703480245164,-0.4479886161173045
105,199310,1993,10,0.12815647059024476,0.3096145828563247
106,199311,1993,11,-0.08072622747795222,-0.5023881668412412
107,199312,1993,12,-0.038159958108864356,0.10606761073751267
108,199401,1994,1,0.22139329713221736,0.631132344781981
109,199402,1994,2,-0.17221995652161298,-0.9493988465309326
110,199403,1994,3,-0.6707758917670581,-1.203338966388261
111,199404,1994,4,-0.5600752938446055,0.2709389414184938
112,199405,1994,5,-0.4508102256222574,0.26746524912690656
113,199406,1994,6,-0.7284710851148717,-0.6688174431927877
114,199407,1994,7,-0.4257512538267915,0.7355867510250282
115,199408,1994,8,-0.08687217100215307,0.8230848455074791
116,199409,1994,9,-0.4094124412145615,-0.7774165638219047
117,199410,1994,10,-0.2324601836664306,0.4312545930764361
118,199411,1994,11,-0.6613268703956181,-1.0347050430637819
119,199412,1994,12,-0.544191427854243,0.2865099673252975
120,199501,1995,1,-0.3233202583197133,0.5375295005276356
121,199502,1995,2,-0.006583116815019315,0.7695058141030643
122,199503,1995,3,0.19930492362028837,0.5012733505837954
123,199504,1995,4,0.3933808797129494,0.4726904892708991
124,199505,1995,5,0.6545478930305432,0.635037313791301
125,199506,1995,6,0.7370617789892527,0.20273278443928416
126,199507,1995,7,0.9202877580573521,0.446435733586377
127,199508,1995,8,0.7471381708680348,-0.4159212467870186
128,199509,1995,9,1.0158093619690916,0.6531959102447344
129,199510,1995,10,0.7814032922659156,-0.56414957748798
130,199511,1995,11,1.0568648992238507,0.669627346819675
131,199512,1995,12,1.0563935189231417,0.001925180319580993
132,199601,1996,1,1.2171049091912698,0.3919549704527236
133,199602,1996,2,1.0855979795034927,-0.3151544160110481
134,199603,1996,3,0.9803014237718563,-0.2517305983328505
135,199604,1996,4,0.9457774008597952,-0.08047534552019747
136,199605,1996,5,1.0146151183179895,0.16963921549728947
137,199606,1996,6,0.857435399807048,-0.377277386111968
138,199607,1996,7,0.2106429673248484,-1.5620413866486913
139,199608,1996,8,0.3118780632222118,0.2480343359490544
140,199609,1996,9,0.7601492781248248,1.0877917379750446
141,199610,1996,10,0.8820906994040241,0.29813946638330846
142,199611,1996,11,1.4855063300297964,1.463209927470616
143,199612,1996,12,1.0086133988655916,-1.1509188664877497
144,199701,1997,1,1.4765062420729496,1.135272120293586
145,199702,1997,2,1.3021877659684042,-0.4187497221673979
146,199703,1997,3,0.6208813895657145,-1.6455581686004375
147,199704,1997,4,1.0888193792914596,1.1353813657608882
148,199705,1997,5,1.5212671870949448,1.049502284776768
149,199706,1997,6,1.7515614187103543,0.5603314098932991
150,199707,1997,7,2.33956920675336,1.4259260565720548
151,199708,1997,8,1.3154702474280766,-2.4750470693350084
152,199709,1997,9,1.670374297336817,0.861862033209644
153,199710,1997,10,1.0217705254498313,-1.5664244626152808
154,199711,1997,11,1.3124046961996472,0.7063418905059783
155,199712,1997,12,1.264574099261836,-0.1126745703898188
156,199801,1998,1,1.1620627007033604,-0.24499107981047916
157,199802,1998,2,1.7141684136321673,1.339050277152722
