,id,year,month,commodities_zscore,cpi_zscore,day_care_zscore,durables_zscore,education_zscore,energy_zscore,food_zscore,housing_zscore,meat_zscore,medical_care_zscore,motor_fuel_zscore,new_vehicles_zscore,used_vehicles_zscore,commodities_chg_zscore,cpi_chg_zscore,day_care_chg_zscore,durables_chg_zscore,education_chg_zscore,energy_chg_zscore,food_chg_zscore,housing_chg_zscore,meat_chg_zscore,medical_care_chg_zscore,motor_fuel_chg_zscore,new_vehicles_chg_zscore,used_vehicles_chg_zscore
1222,201411.0,2014.0,11,-0.9722385320720046,-0.5070094377489058,-0.8585145589585819,-0.9853689749852947,-0.17266658937142293,-1.184294862764141,-0.6392660843874197,-0.8746156011163367,0.6334775413550704,-1.0098290073611225,-1.3552635849780217,-0.5338157018307608,-0.7603776522450354,-2.6603110706022215,-1.1232307817117182,-0.3419492720321454,-1.4738416544118695,-0.4897113268908925,-2.057767140777337,-0.344917677344219,-0.6550510801378023,-0.15456412602590283,0.381510713675446,-1.8715362095569463,0.053508713522070234,-1.48318107424871
1223,201412.0,2014.0,12,-1.1763395229123386,-0.5954428962002344,-1.01941739134357,-1.0286932121115882,-0.27949210851633643,-1.564593594676786,-0.6225629401127121,-0.875761833265748,0.598927634596251,-0.9972331875937988,-1.938142543260116,-0.5412277174639337,-0.8868980368264014,-2.7919980244194615,-1.1225666277585415,-0.9234444168106065,-0.8683726476147037,-0.6259126530470484,-1.8717579663496517,0.14793865408300608,-0.05972530948064199,-0.15482904822366456,0.2582272694539058,-2.0987334442543437,-0.02191689687462195,-0.8373370299045614
1224,201501.0,2015.0,1,-1.3947502891794339,-0.6679810087517891,-0.8361339223114541,-1.0209919531107465,-0.28028244607109765,-2.106077892692406,-0.6199444083164766,-0.8416202718631361,0.5200200169379258,-0.9863581136974443,-2.752686021942834,-0.5494485929760488,-0.906839447037767,-2.9877622882330703,-0.917422395135713,0.973675465257207,0.14397765831341627,-0.02769610050499093,-2.6581522947656286,-0.005116604101908165,0.5397857559539517,-0.3351280638732664,0.22827209065479467,-2.928481969378062,-0.02576955220418771,-0.15244718571967802
1225,201502.0,2015.0,2,-1.289120563512385,-0.622272231220407,-0.905403299807452,-0.9511729511597434,-0.3795390421056705,-1.9356277649013673,-0.6449786613388901,-0.8303430610488604,0.44120057789567996,-0.9515801250413911,-2.4921479547172405,-0.4689169405559906,-0.7791441517317887,1.4452596465944463,0.6086637736745764,-0.41837013460726286,1.376399111354792,-0.5832112116799278,0.8152430482191606,-0.30561504709558895,0.1513389361924605,-0.33476964777473306,0.6443800689022584,0.9221177062326344,0.39696485291625094,0.7962847835589104
1226,201503.0,2015.0,3,-1.1281067800346996,-0.5573711041355379,-0.6297551828006893,-0.8899165057665533,-0.3926403708921799,-1.6298317194118994,-0.7285055915743998,-0.8276713348797541,0.3205593039634053,-0.943175043493969,-1.987389409039299,-0.4567327820038358,-0.5521739839627058,2.202938854056592,0.856358906967347,1.4827800093702148,1.2065172403538484,-0.09715077227136493,1.4755705491586828,-0.9412457274896072,0.005138713710402968,-0.504761189502744,0.185273839900298,1.7968376739273497,0.0714210308427931,1.4342375536492575
1227,201504.0,2015.0,4,-1.1115792198243786,-0.5447395048685078,-0.40758900833212086,-0.8204266249873476,-0.41537350539422907,-1.6368675455414718,-0.758511823182369,-0.8307307270032092,0.18468618590626248,-0.8747119818759675,-1.9538447876604168,-0.4401846322406438,-0.38534956135828025,0.22630132582204873,0.1817720032686487,1.1879929823936244,1.3698693185209003,-0.15149033696580802,-0.05067783360160699,-0.3596447527240003,-0.09222834973718243,-0.5666734578897155,1.2307783282035523,0.10909948238745888,0.09220702163686406,1.04773345865582
1228,201505.0,2015.0,5,-0.9950326027591672,-0.4930992768397757,-0.4571880064655745,-0.8181906097265412,-0.48097926192825174,-1.253664118427793,-0.7840456685584851,-0.829664513548019,0.0007254510672589856,-0.8989315569166721,-1.4056172229028046,-0.450596721806058,-0.335546357540775,1.5946077072004619,0.6852146627393098,-0.3099490044726378,0.03554674451277619,-0.3933639468921547,1.8532267336331731,-0.31104403825882,-0.02213764847612838,-0.7621332729903489,-0.38266442329394,1.952529855050111,-0.0362064557031042,0.29574044338189626
1229,201506.0,2015.0,6,-0.9798914976581743,-0.46361180933467566,-0.4745237601884124,-0.829548169131449,-0.5142669284086266,-1.01778858974736,-0.7850838032429013,-0.7567472377208523,0.2234377644554679,-0.9861952385564784,-1.245852419731173,-0.4710730965389619,-0.32783229478210624,0.2073339866644652,0.399312670624594,-0.13211728316535096,-0.23415096576924388,-0.2110356278690989,1.1344413823981123,-0.04485302092897478,1.1985537753650086,0.8908544218143971,-1.4801521565305527,0.5611799714596206,-0.08414333933184581,0.025270348956067012
1230,201507.0,2015.0,7,-1.012482301945917,-0.47952740693763013,-0.48436377843858597,-0.8658748254790838,-0.4750293279677258,-1.0417009585648478,-0.7929108070039308,-0.749858771179322,0.19441996024871247,-1.008417049701287,-1.239805618255541,-0.5665353565178519,-0.3269116639077574,-0.4456603352749891,-0.1866561411927529,-0.09080155172175801,-0.7295400329472953,0.19812871267527893,-0.13301533921031822,-0.11862658842277873,0.07677772139180378,-0.13234293195699082,-0.34788684473943604,0.010611049763497403,-0.4413062768891473,-0.018385095583865387
1231,201508.0,2015.0,8,-1.0759735393459238,-0.5140606146513969,-0.4299229651431946,-0.9079878888936849,-0.2619715973318781,-1.2531512314745228,-0.7749416617979189,-0.7651835223670097,0.2668448011332161,-1.0613774332914179,-1.5256961254922858,-0.6305197789458473,-0.3477248681234222,-0.8683923739924764,-0.4269337270682483,0.2635078529781085,-0.8443428552436721,1.1787662472017415,-1.0479778120095045,0.16169608615288356,-0.3006068778447982,0.2799869354764909,-0.8829916787323854,-1.0350154057411265,-0.29137516797780855,-0.15804944323149359
