,id,year,month,copper_zscore,farm_products_zscore,farm_products_plus_zscore,fuels_and_power_zscore,furniture_zscore,industrial_commodities_zscore,lumber_zscore,machinery_zscore,metals_zscore,ppi_all_zscore,processed_foods_and_feeds_zscore,rubber_and_plastics_zscore,warehousing_zscore,copper_chg_zscore,farm_products_chg_zscore,farm_products_plus_chg_zscore,fuels_and_power_chg_zscore,furniture_chg_zscore,industrial_commodities_chg_zscore,lumber_chg_zscore,machinery_chg_zscore,metals_chg_zscore,ppi_all_chg_zscore,processed_foods_and_feeds_chg_zscore,rubber_and_plastics_chg_zscore,warehousing_chg_zscore
60,191801.0,1918.0,1,,3.3237476177140386,,,,2.4409547721593494,,,,3.095941582657408,,,,,,,,,,,,,,,,
61,191802.0,1918.0,2,,3.1696141645232223,,,,1.7494155769989093,,,,2.6410891772477236,,,,,-0.7564306377003691,,,,-5.727737900315834,,,,-3.7642522845861515,,,
62,191803.0,1918.0,3,,3.0510556760042884,,,,2.3969669716268327,,,,2.9020517202374707,,,,,-0.5808196358777603,,,,5.373300207605741,,,,2.1756143505731664,,,
63,191804.0,1918.0,4,,2.7092392261530986,,,,2.5749908058679547,,,,2.917285351933256,,,,,-1.6829023678226467,,,,1.480924754950893,,,,0.13654410657686453,,,
64,191805.0,1918.0,5,,2.264244594026547,,,,2.6193800699170557,,,,2.762078551005354,,,,,-2.192227510454007,,,,0.37309645151116116,,,,-1.277778745002697,,,
65,191806.0,1918.0,6,,2.1485951616205474,,,,2.6593839896509124,,,,2.6706682398493102,,,,,-0.566459473806978,,,,0.33674202207142284,,,,-0.7483924254190355,,,
66,191807.0,1918.0,7,,2.4344316235608487,,,,2.6362004146132243,,,,2.801954759459291,,,,,1.4154213453052935,,,,-0.18708122988188897,,,,1.0995565141506085,,,
67,191808.0,1918.0,8,,2.6975789952033535,,,,2.612964628201634,,,,2.922574991654073,,,,,1.3034197196005508,,,,-0.18751406127938205,,,,1.0110471516677206,,,
68,191809.0,1918.0,9,,2.7953780517326408,,,,2.7051876073010592,,,,3.032962118864163,,,,,0.48720012431693366,,,,0.7696371319299788,,,,0.926132357685602,,,
69,191810.0,1918.0,10,,2.31875730574362,,,,2.5614327325499127,,,,2.766227050062272,,,,,-2.348345544312064,,,,-1.1866152442701663,,,,-2.2032456393489133,,,
70,191811.0,1918.0,11,,2.153390166664675,,,,2.425308487722731,,,,2.6193489905108622,,,,,-0.8118842088049397,,,,-1.1233574525872556,,,,-1.208666451209842,,,
71,191812.0,1918.0,12,,2.0669991231677827,,,,2.1281053305224797,,,,2.4804290106768963,,,,,-0.42202939396195505,,,,-2.4586988837585513,,,,-1.1426299255696917,,,
72,191901.0,1919.0,1,,2.1445469443408447,,,,1.6243850052579358,,,,2.1960513431898714,,,,,0.3872326398273996,,,,-4.170722678193613,,,,-2.349644765997013,,,
73,191902.0,1919.0,2,,1.7200492244823193,,,,1.2577520234240391,,,,1.6745506208679546,,,,,-2.0910472751155527,,,,-3.0342709436041946,,,,-4.317303202007886,,,
74,191903.0,1919.0,3,,1.8571887355024994,,,,0.9089894260770625,,,,1.6840516116269078,,,,,0.6813989573733414,,,,-2.8861257615640024,,,,0.08897437824389774,,,
75,191904.0,1919.0,4,,2.0946121868524443,,,,0.7964184085260709,,,,1.742123515787445,,,,,1.1764370660674641,,,,-0.9281016009283719,,,,0.49201813780547193,,,
76,191905.0,1919.0,5,,2.184209040259874,,,,0.853079092519992,,,,1.8455136572425361,,,,,0.4467110578999445,,,,0.47482631316846097,,,,0.8680710356557496,,,
77,191906.0,1919.0,6,,1.793337241441827,,,,1.287324072254376,,,,1.7952134510418385,,,,,-1.9250574635840303,,,,3.6049936729660264,,,,-0.40725881073528725,,,
78,191907.0,1919.0,7,,2.1078943649801736,,,,1.7519669456046914,,,,2.135038391542543,,,,,1.557197007003344,,,,3.8569916916245934,,,,2.8300182922503065,,,
79,191908.0,1919.0,8,,1.9589215040949166,,,,2.18920665785666,,,,2.3091656141027115,,,,,-0.7309560717201641,,,,3.629819954364953,,,,1.455050713663465,,,
80,191909.0,1919.0,9,,1.3176193725920673,,,,2.124957143617553,,,,1.901516455454094,,,,,-3.16127293182614,,,,-0.5275171641561939,,,,-3.37255748813885,,,
81,191910.0,1919.0,10,,1.2098469687589115,,,,2.1678827087953705,,,,1.846663118738188,,,,,-0.527575587573473,,,,0.36096241287886216,,,,-0.44504090524628737,,,
82,191911.0,1919.0,11,,1.5193139751167206,,,,2.207136290216529,,,,1.981063138293964,,,,,1.532070331946513,,,,0.3305217302803967,,,,1.1253924854277584,,,
83,191912.0,1919.0,12,,1.7484166295328845,,,,2.549633323977494,,,,2.3836933308490273,,,,,1.1353625773369456,,,,2.8444047685697846,,,,3.3511792739043096,,,
84,192001.0,1920.0,1,,1.9018759614589504,,,,3.1203832319936295,,,,2.8046437202410175,,,,,0.7619595461267406,,,,4.736617195922991,,,,3.5032011423837703,,,
85,192002.0,1920.0,2,,1.447790048214803,,,,3.4504715884973316,,,,2.610626888821371,,,,,-2.237105390155005,,,,2.74153704613769,,,,-1.5998262319165826,,,
86,192003.0,1920.0,3,,1.4345649857073242,,,,3.558554432711979,,,,2.5612973237334815,,,,,-0.06085542402572321,,,,0.9011151427331211,,,,-0.3992043844152224,,,
87,192004.0,1920.0,4,,1.5585677952879167,,,,3.8483724112930013,,,,2.9535937989865655,,,,,0.616551407369341,,,,2.4076963012701387,,,,3.2654295941072524,,,
