,year,month,prod_and_income_zscore,employment_zscore,consumption_and_housing_zscore,sales_orders_inventories_zscore,cfnai_zscore,cfnai_ma3_zscore,diffusion_zscore,prod_and_income_chg_zscore,employment_chg_zscore,consumption_and_housing_chg_zscore,sales_orders_inventories_chg_zscore,cfnai_chg_zscore,cfnai_ma3_chg_zscore,diffusion_chg_zscore,id
2,1967,5,-1.1276043794028938,0.024141509419980944,-0.3891599744431749,-0.3809797657354574,-0.5600429142161917,-0.4401816672727301,-0.6719977279379312,,,,,,,,196705
3,1967,6,-0.23663905426619955,0.07370305056567396,0.6202052998694741,0.09533528950959369,0.029538992145050295,-0.2492624518249032,-0.619060485368916,0.7532976258453179,0.0374714782119236,0.8787493168287331,0.3563402574613259,0.484967810163982,0.2874396376660819,0.12619041499618278,196706
4,1967,7,-0.49868767930640373,0.22238767400275297,-0.5444469397220439,-0.7620318099314982,-0.32021298620483896,-0.4108094802807568,-0.8043408343604692,-0.2246179361434564,0.1132784963931557,-1.0141628091215276,-0.6435398679525437,-0.2896881733663783,-0.24867076247833358,-0.47117140563322885,196707
5,1967,8,1.4928818709991478,0.519756920876911,-0.1562295265248713,1.0003338944751907,0.9788657905233212,0.33818128801456454,0.20146677445081926,1.6867624804709662,0.22698902366500381,0.33791728084294437,1.3205103783961287,1.0700803083624457,1.1362811045614065,2.5156376975138284,196708
6,1967,9,-0.13181960425011788,-0.1245431140170981,0.9307792304272122,-0.33334826021095226,-0.050404317192067255,0.2941230075266045,0.09559228931278889,-1.3803363275847351,-0.49317764905670103,0.9463533213269566,-1.0006399127432115,-0.8500776082606817,-0.06996729576352839,-0.27205079875675836,196709
7,1967,10,0.549506820854413,-0.0006392611528655582,-0.855020870279782,-0.33334826021095226,0.0195460784779106,0.4703561294784448,0.2544040170198344,0.5754947963928136,0.09432674184784769,-1.554994845107316,-0.0007597873293418488,0.05643471289186775,0.2651017043267313,0.3916845574981433,196710
8,1967,11,1.3356526959750255,0.7923453971782226,0.7754922651483432,1.7624379828672723,1.2986390278717914,0.6172170644383117,0.3602785021578648,0.6643962111190659,0.6060241145711642,1.4195813528145218,1.5704804097495961,1.053598266159672,0.22042583764802998,0.25893748624716306,196711
9,1967,12,0.8377603083986377,0.371072297439832,1.0860661957060813,1.571911960769252,0.9488870495219021,1.116544243301859,1.1543371406930925,-0.4246461192775239,-0.32261185814892884,0.2703132763447208,-0.14359980524560886,-0.2896881733663784,0.7565362377924455,1.9846494125099072,196712
10,1968,1,-0.26284391677022,-0.5210354431826422,-0.2338730091643058,-0.6191372933579828,-0.4701066912119343,0.8668806538700854,0.9161195491325242,-0.9358292539534742,-0.6826951945097812,-1.1493708181179747,-1.6434199933664133,-1.1714774312147673,-0.3826983625144375,-0.6039184768842089,196801
11,1968,2,0.3136630583182292,0.8419069383239157,0.23198788667230136,-0.42861127125996246,0.3892838841620793,0.4262978489904847,0.5984960937184332,0.4865933816665613,1.0419144691132487,0.4055212853411679,0.1420802305869253,0.7074753799014258,-0.6730914959259958,-0.8030390837606796,196802
12,1968,3,0.18263874579812714,0.14804536228421344,1.2413531609849504,0.33349281713211926,0.3593051431606602,0.1325759790707508,0.3602785021578648,-0.1134911677356411,-0.531081158147317,0.8787493168287331,0.5706002843357265,-0.0259754981220004,-0.44971216253248936,-0.6039184768842093,196803
13,1968,4,0.1040241582860659,0.42063383858552506,-0.2338730091643058,-0.28571675468644714,0.10948230148216785,0.4262978489904847,0.6779019575719558,-0.06904046037251503,0.2080372691196958,-1.2845788271144216,-0.4649898455572099,-0.20727796235251023,0.44380517104153644,0.7899257712510842,196804
14,1968,5,0.9163748959106989,0.3958530680126785,0.38727485195117045,0.2858613116076141,0.6191208985062923,0.5291005034623916,0.7573078214254787,0.6866215648006289,-0.01938378542400047,0.5407292943376152,0.4277602664194594,0.41903964135288746,0.1534120376299781,0.192563950621673,196805
15,1968,6,0.1040241582860659,0.17282613285705997,0.6202052998694741,0.33349281713211926,0.24938309282212354,0.4703561294784448,0.6514333362874483,-0.6913503634562804,-0.17099782178646464,0.20270927184649715,0.03495021714972495,-0.30617021556915197,-0.092305229102879,-0.2720507987567585,196806
16,1968,7,-0.2890487792742404,0.271949215148446,0.6978487825089086,0.5240188392301396,0.20941143815356475,0.5291005034623916,0.6249647150029406,-0.33574470455127164,0.07537498730253964,0.06750126285004995,0.14208023058692523,-0.0342165192233872,0.08639823761192608,-0.07293019188028788,196807
17,1968,8,0.3398679208222497,0.2967299857212925,0.38727485195117045,-1.4288728872745695,0.009553164810770908,0.22069254004667097,0.43968436601138755,0.5310440890296874,0.018519723666615577,-0.2705187596410679,-1.4648699709710793,-0.16607285684557618,-0.47205009587184,-0.4711714056332286,196808
18,1968,9,0.13022902079008633,0.34629152686698556,-0.4668034570826094,1.667174971818262,0.4792201071663365,0.33818128801456454,0.5984960937184332,-0.18016722878033029,0.03747147821192364,-0.743746791128633,2.320390503809998,0.3860755569473402,0.17574997096932876,0.39168455749814346,196809
19,1968,10,0.2874581958142088,0.4454146091583715,0.6978487825089086,0.6192818502791498,0.4992059345006159,0.4850422229744315,1.0484626555550622,0.13098772276155246,0.07537498730253961,1.0139573258251802,-0.7863798858688108,0.015229607384933695,0.22042583764803003,1.121793449378535,196810
20,1968,11,1.0998089334388417,0.4454146091583715,0.7754922651483432,0.33349281713211926,0.7690146035133877,0.8521945603740987,1.2866802471156304,0.6866215648006289,-0.0004320308786924343,0.06750126285005005,-0.21501981420374244,0.22125513491960402,0.5554948377382896,0.590805164374614,196811
