,id,year,month,cons_sent_zscore,cons_sent_chg_zscore
0,195211,1952,11,-0.003590980158190212,
1,195302,1953,2,0.36043329002975366,1.075885277809027
2,195308,1953,8,-0.4404201043837233,-2.3413503406297576
3,195311,1953,11,-0.4485095326101216,-0.015731655858916272
4,195402,1954,2,-0.343346965666938,0.31649958482263013
5,195405,1954,5,-0.2705421116293488,0.22157637319933257
6,195411,1954,11,0.06112444565299958,0.9809620661857261
7,195502,1955,2,0.781083557802489,2.120040605665323
8,195505,1955,5,1.0399452610472482,0.7673848400333009
9,195511,1955,11,1.0884818304056414,0.1503839644818586
10,195605,1956,5,0.9671404070096601,-0.34796289654046597
11,195608,1956,8,1.104660686858439,0.411422796445931
12,195611,1956,11,1.1289289715376352,0.07919155576438124
13,195705,1957,5,0.5384007110105264,-1.7243494650783087
14,195711,1957,11,-0.20582668581815902,-2.175234720288983
15,195802,1958,2,-0.6264769535908944,-1.2260026040559875
16,195805,1958,5,-0.43233067615732385,0.5775384167867058
17,195811,1958,11,0.3685227182561519,2.357348634723569
18,195905,1959,5,0.7325469884440958,1.075885277809027
19,195911,1959,11,0.6112055650481145,-0.34796289654046597
20,196002,1960,2,1.1127501150848373,1.4793089272080506
21,196005,1960,5,0.5707584239161207,-1.5819646476433606
22,196008,1960,8,0.8862461247456725,0.9335004603740791
23,196011,1960,11,0.31189672067136043,-1.6768878592666616
24,196102,1961,2,0.43323814406734173,0.36396119063428056
25,196105,1961,5,0.5060429981049309,0.22157637319933257
26,196108,1961,8,1.0480346892736476,1.5979629417371752
27,196111,1961,11,0.5464901392369247,-1.4633106331142363
28,196202,1962,2,1.104660686858439,1.6454245475488256
29,196205,1962,5,0.7406364166704952,-1.0598869837152125
30,196208,1962,8,0.43323814406734173,-0.8937713633744411
31,196211,1962,11,0.7082787037648998,0.8148464458449547
32,196302,1963,2,0.9833192634624578,0.8148464458449547
33,196305,1963,5,0.44132757229374114,-1.5819646476433606
34,196308,1963,8,0.8215306989344827,1.1233468836206775
35,196311,1963,11,0.6597421344065076,-0.4666169110695904
36,196402,1964,2,1.0723029739528436,1.218270095243975
37,196405,1964,5,0.991408691688856,-0.22930888201134159
38,196408,1964,8,1.1612866844432295,0.5063460080692285
39,196411,1964,11,1.104660686858439,-0.15811647329386425
40,196502,1965,2,1.2745386796128124,0.5063460080692285
41,196505,1965,5,1.5495792393103704,0.8148464458449547
42,196508,1965,8,1.3877906747823954,-0.4666169110695904
43,196511,1965,11,1.3473435336504016,-0.11065486748221716
44,196602,1966,2,1.1127501150848373,-0.6801941372220157
45,196605,1966,5,0.7649047013496912,-1.0124253779035621
46,196608,1966,8,0.4008804311617474,-1.0598869837152125
47,196611,1966,11,0.16628701259618311,-0.6801941372220157
48,196702,1967,2,0.6354738497273105,1.3843857155847499
49,196705,1967,5,0.781083557802489,0.4351535993517579
50,196708,1967,8,0.8700672682928748,0.26903797901097964
51,196711,1967,11,0.5384007110105264,-0.9649637720919116
52,196802,1968,2,0.8862461247456725,1.0284236719973765
53,196805,1968,5,0.4979535698785327,-1.1310793924326865
54,196808,1968,8,0.4979535698785327,0.007999147046907264
55,196811,1968,11,0.44132757229374114,-0.1581164732938676
56,196902,1969,2,0.9671404070096601,1.5505013359255246
57,196905,1969,5,0.42514871584094344,-1.5819646476433606
58,196908,1969,8,0.012587876294607522,-1.2022718011501605
59,196911,1969,11,-0.5294038148741091,-1.5819646476433606
60,197002,1970,2,-0.6588346664964898,-0.3716936994462929
61,197005,1970,5,-0.8772492286092552,-0.6327325314103619
62,197008,1970,8,-0.6992818076284836,0.530076810975052
63,197011,1970,11,-1.1199320754012179,-1.2260026040559842
64,197102,1971,2,-0.6588346664964898,1.360654912678923
65,197105,1971,5,-0.4889566737421153,0.5063460080692318
66,197108,1971,8,-0.33525753744053977,0.45888440225757804
67,197111,1971,11,-0.343346965666938,-0.015731655858916272
68,197202,1972,2,0.530311282784127,2.570925860875994
69,197205,1972,5,0.19055529727537915,-0.9886945749977386
70,197208,1972,8,0.7244575602176975,1.5742321388313516
71,197211,1972,11,0.36043329002975366,-1.0598869837152125
72,197302,1973,2,-0.3514363938933363,-2.080311508665682
73,197305,1973,5,-0.7478183769868756,-1.1548101953385135
74,197308,1973,8,-1.1522897883068133,-1.178540998244337
75,197311,1973,11,-0.7882655181188694,1.075885277809027
76,197402,1974,2,-1.9774114673994863,-3.4804288801093515
