,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,x,y,class
21757,0.002471671423753257,1.0,0.008685835963574308,-0.14193768107690335,1,-5.052805,-1.9440697,1
21758,0.0029412207571886248,2.0,0.008726792714204687,-0.12054654185017871,2,5.14671,-0.24134593,0
21759,-0.0019965801649566486,1.0,0.008622762019714337,-0.23113712171825143,1,-5.0105147,-2.6257136,1
21760,0.004764955553775918,2.0,0.008565157764074629,-0.24954219278708817,1,-1.2131505,5.3963494,2
21761,0.0010499895001049534,1.0,0.008361666383336158,-0.17601966705071698,2,2.6733575,-5.0271935,3
21762,4.999700017994373e-05,1.0,0.008097764134151945,-0.2098650117952058,1,-5.1303916,-2.4554825,1
21763,-0.0016927591974918526,1.0,0.0073652553662469766,-0.22852779641209997,1,-5.203877,-2.544471,1
21764,0.003309423621198222,2.0,0.00703514577936177,-0.23270119263548744,1,-1.3640007,5.562958,2
21765,-0.0005443794074754371,1.0,0.006778023053718754,-0.04197178552925489,2,2.987521,-4.825812,3
21766,-0.0007797193010515941,1.0,0.006431434683513924,-0.045357181077100746,1,-5.131991,-1.0918316,1
21767,-0.0015368057467524021,1.0,0.006495632368032429,0.041616437171907286,2,3.1590545,-4.445399,3
21768,0.005010683813897398,2.0,0.006301208839922091,-0.04511358059367759,1,-2.1703308,4.989655,2
21769,-0.0030826263776892156,1.0,0.00603934970073043,-0.053667009659364995,1,-5.1143146,-1.175871,1
21770,-0.006588079097181665,1.0,0.006170163545291775,-0.023432895077377943,2,2.8136334,-4.619767,3
21771,0.0036328287459475167,2.0,0.006205623117818887,-0.013329490825127015,3,0.6758119,-1.3034474,0
21772,0.0008811234323762752,1.0,0.006126561365741306,-0.0032503944471153393,4,2.7422922,-1.2165986,0
21773,-0.005998368202101233,1.0,0.006381891072453829,0.08563381031938465,5,2.4263575,-1.0544695,0
21774,-0.0007106389198287685,2.0,0.006037658822758578,-0.05903039210314795,1,-2.207431,5.1720862,2
21775,0.007428788682227891,3.0,0.00615013656965051,0.07819459014343637,2,-1.0810611,1.1874975,2
21776,0.0012939842223853866,1.0,0.006307548574369112,0.09189596467560174,3,3.7199416,2.1515758,0
21777,0.004867353432503363,2.0,0.006273864449924424,0.09980612359365959,4,1.2619752,-0.46428457,0
21778,-0.000477516912057207,1.0,0.006386788698766411,0.6424554701762774,5,2.246045,-0.6600892,0
21779,-0.008078062869492465,1.0,0.006704391036408947,0.12374526512768849,1,-3.9615273,-0.7082235,1
21780,-0.005810053611866218,2.0,0.006720396213378257,0.10641018503992132,1,-2.2522395,4.3355355,2
21781,0.007771605864985224,3.0,0.007019466546564582,0.11631440124235173,2,-0.9913175,1.1833707,2
21782,-0.016434468130560147,1.0,0.007805482225240208,0.10204563324034902,1,-3.2628202,-1.3995756,1
21783,0.008502912474468518,2.0,0.008010943843457649,-0.014080201341095975,1,-2.0577354,4.503563,2
21784,-0.002553342097279783,1.0,0.00828622712104358,0.035086009638467225,2,3.028639,-4.434685,3
21785,-0.0027937068078223745,1.0,0.008434611542927255,0.31234708769950154,3,3.258842,1.4573629,0
21786,-0.013426439758293194,1.0,0.009047046491552595,0.38443725660902955,4,2.375418,-1.1223162,0
21787,5.138297271045646e-06,2.0,0.00924379679061952,0.31786256854305195,1,-2.1766567,3.74416,2
21788,0.011042227755475389,3.0,0.009329996442908675,0.1670342970378021,1,1.7524029,3.7231736,2
21789,-0.0015675736199754454,1.0,0.009530389552223599,0.09655268120260242,1,-3.8631058,-0.6627084,1
21790,-0.015358379411916711,1.0,0.010013177613560008,0.19804466241405733,2,2.2977343,-3.3476317,3
21791,0.017161954197542875,2.0,0.010639751331968754,0.434351447411193,3,1.3226417,-0.43888533,0
21792,-0.02109728712121608,1.0,0.01163203178077075,0.39558933901875587,1,-1.9799592,-1.4229766,1
21793,-0.011583680021824286,2.0,0.012127189646036717,0.452844584882429,2,3.5680437,-0.19801252,0
21794,-0.01674365512017672,1.0,0.013110351302047194,0.3804855318630451,1,-2.1457334,-1.3571225,1
21795,0.0015763966554827907,2.0,0.013188208979070117,0.5086491629867554,2,3.3418863,0.015492262,0
21796,-0.008166486799929146,1.0,0.014358734811998966,0.8781643606584575,3,2.1647785,-0.4164191,0
21797,0.00014494620885137206,2.0,0.015167815499581242,0.5468441637935437,1,-1.6129516,3.2395372,2
21798,0.01272021878776315,3.0,0.015577232928406346,0.35781193545931,1,1.4216868,3.2541668,2
21799,0.009059826366458159,1.0,0.015523815526178935,0.005640762743464164,1,-3.1072009,-1.7476707,1
