,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,ten_3mo,ten_two,thirty_five,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,x,y,class
2304,-0.001757889299234372,2.0,0.014603588252981855,-0.1540210029516724,1,0.6900000000000004,0.1299999999999999,0.4400000000000004,0.0600000000000005,0.1899999999999995,0.3100000000000005,0.019999999999999574,0.03000000000000025,0.20999999999999996,-0.1299999999999999,0.6600000000000001,-0.2999999999999998,1.2268885,-1.6981149,1
2305,-0.02762767997211077,1.0,0.015899583247500265,0.04022133605551442,2,0.7000000000000002,0.16999999999999993,0.45999999999999996,0.03000000000000025,0.20999999999999996,0.29000000000000004,0.05999999999999961,0.020000000000000462,0.22999999999999954,-0.13999999999999968,0.6699999999999999,-0.2999999999999998,1.2487451,-1.6760503,1
2306,0.0050843850258947484,2.0,0.015057662444130876,-0.03374984913570342,1,0.6699999999999999,0.1899999999999995,0.46999999999999975,0.040000000000000036,0.1900000000000004,0.25,0.05999999999999961,0.03000000000000025,0.22999999999999954,-0.1299999999999999,0.6699999999999999,-0.2999999999999998,1.2526164,-1.6350753,1
2307,0.01658927588585965,3.0,0.014536546794936385,-0.010751340790192167,2,0.7000000000000002,0.1900000000000004,0.46999999999999975,0.04999999999999982,0.20999999999999996,0.25,0.05000000000000071,0.04999999999999982,0.22999999999999954,-0.13999999999999968,0.6699999999999999,-0.29000000000000004,1.2739011,-1.5170432,1
2308,-0.005604926722793931,1.0,0.014315949485500457,-0.11014325955329321,1,0.7000000000000002,0.21999999999999975,0.5100000000000007,0.020000000000000462,0.20999999999999996,0.25,0.05999999999999961,0.04999999999999982,0.25,-0.13999999999999968,0.6900000000000004,-0.29000000000000004,1.2431852,-1.714713,1
2309,0.02089041880061375,2.0,0.014480181961119542,-0.06195440589191467,2,0.7700000000000005,0.2600000000000007,0.5,0.009999999999999787,0.23000000000000043,0.2699999999999996,0.0600000000000005,0.07000000000000028,0.25,-0.1200000000000001,0.6600000000000001,-0.29000000000000004,1.2505774,-1.5674644,1
2310,-0.007241975783202055,1.0,0.014133768979434936,-0.08584680180138762,1,0.7299999999999995,0.2400000000000002,0.5,0.019999999999999574,0.21999999999999975,0.25,0.0600000000000005,0.05999999999999961,0.25,-0.1299999999999999,0.6799999999999997,-0.2999999999999998,1.2411861,-1.7188885,1
2311,-0.011178743285368992,1.0,0.014763248521032042,0.15791130822806462,2,0.7599999999999998,0.2599999999999998,0.5099999999999998,0.040000000000000036,0.1899999999999995,0.27000000000000046,0.08000000000000007,0.04999999999999982,0.2599999999999998,-0.1299999999999999,0.6699999999999999,-0.29000000000000004,1.2636698,-1.6549273,1
2312,0.005681291160374839,2.0,0.014367869399870132,-0.11799503417403305,1,0.8299999999999992,0.2599999999999998,0.5199999999999996,0.0699999999999994,0.22000000000000064,0.27999999999999936,0.07000000000000028,0.07000000000000028,0.25,-0.13000000000000078,0.6900000000000004,-0.29000000000000004,1.189036,-1.6828161,1
2313,0.02073997820031478,3.0,0.0140059192200557,-0.12168200798792218,1,0.7999999999999998,0.2400000000000002,0.5199999999999996,0.1299999999999999,0.13999999999999968,0.29000000000000004,0.05999999999999961,0.05000000000000071,0.2599999999999998,-0.1299999999999999,0.6799999999999997,-0.29000000000000004,1.235765,-1.5645233,1
2314,-0.002450887403349134,1.0,0.014212111784746816,-0.004346318062148126,2,0.71,0.20000000000000018,0.5099999999999998,0.11000000000000032,0.1299999999999999,0.2699999999999996,0.05000000000000071,0.02999999999999936,0.25,-0.1299999999999999,0.6699999999999999,-0.28000000000000025,1.267493,-1.6675507,1
2315,0.006782777773590877,2.0,0.014053915546880283,0.03483986220726115,3,0.7199999999999998,0.20999999999999996,0.46999999999999975,0.1200000000000001,0.15000000000000036,0.23999999999999932,0.08000000000000007,0.03000000000000025,0.21999999999999975,-0.1200000000000001,0.6600000000000001,-0.29000000000000004,1.2271265,-1.607935,1
2316,0.012715963035164153,3.0,0.014270301641393462,0.07732413206055816,4,0.6299999999999999,0.16999999999999993,0.5,0.11999999999999922,0.1200000000000001,0.22000000000000064,0.02999999999999936,0.05000000000000071,0.21999999999999975,-0.1299999999999999,0.6799999999999997,-0.2699999999999996,1.2589484,-1.5281426,1
2317,0.003240998257129003,1.0,0.014090184299328795,-0.09130631009790785,1,0.6299999999999999,0.16999999999999993,0.5,0.08999999999999986,0.1200000000000001,0.25,0.03000000000000025,0.04999999999999982,0.20999999999999996,-0.1200000000000001,0.6800000000000006,-0.27000000000000046,1.2813615,-1.6638688,1
2318,0.007566445610652053,2.0,0.014350117397672639,0.03149616984319771,2,0.7399999999999993,0.1299999999999999,0.46999999999999975,0.17999999999999972,0.16000000000000014,0.2699999999999996,0.020000000000000462,0.03000000000000025,0.1899999999999995,-0.11000000000000032,0.6600000000000001,-0.2699999999999996,1.2521424,-1.6437874,1
2319,-0.006526796165414776,1.0,0.014514527862974311,0.031323805659880626,1,0.7999999999999998,0.17999999999999972,0.4800000000000004,0.17999999999999972,0.16000000000000014,0.28000000000000025,0.02999999999999936,0.04999999999999982,0.21000000000000085,-0.11000000000000032,0.6499999999999995,-0.2699999999999996,1.2276404,-1.7446437,1
2320,-0.01609406521935494,1.0,0.015576540905121785,0.20684147275225775,2,0.8300000000000001,0.17999999999999972,0.46999999999999975,0.20000000000000018,0.15000000000000036,0.2999999999999998,0.03000000000000025,0.05999999999999961,0.20000000000000018,-0.11000000000000032,0.6399999999999997,-0.2599999999999998,1.2157583,-1.6951044,1
2321,-0.004225724760932944,2.0,0.016024492572854057,0.37270371071698943,3,0.8599999999999994,0.20999999999999996,0.4500000000000002,0.1899999999999995,0.15000000000000036,0.3099999999999996,0.08000000000000007,0.03000000000000025,0.1899999999999995,-0.08999999999999986,0.6200000000000001,-0.2699999999999996,1.1664187,-1.6180758,1
2322,-0.0029188779378316217,3.0,0.015721000758150108,0.2599343069271875,1,0.8900000000000006,0.21000000000000085,0.4400000000000004,0.20999999999999996,0.16000000000000014,0.3099999999999996,0.0600000000000005,0.04999999999999982,0.1900000000000004,-0.08999999999999986,0.6199999999999992,-0.27999999999999936,1.1915932,-1.7193003,1
