,Date,ten_3mo,ten_two,thirty_five
0,1990-01-02,0.11000000000000032,0.07000000000000028,0.1299999999999999
1,1990-01-03,0.10000000000000053,0.04999999999999982,0.11999999999999922
2,1990-01-04,0.14000000000000057,0.0600000000000005,0.129999999999999
3,1990-01-05,0.20000000000000018,0.08999999999999986,0.14000000000000057
4,1990-01-08,0.22999999999999954,0.11999999999999922,0.16999999999999993
5,1990-01-09,0.21999999999999975,0.10999999999999943,0.17999999999999972
6,1990-01-10,0.27999999999999936,0.11999999999999922,0.1899999999999995
7,1990-01-11,0.23999999999999932,0.129999999999999,0.16999999999999904
8,1990-01-12,0.35999999999999943,0.16999999999999993,0.17999999999999972
9,1990-01-16,0.3099999999999996,0.09999999999999964,0.14000000000000057
10,1990-01-17,0.21999999999999975,0.09999999999999964,0.14000000000000057
11,1990-01-18,0.28000000000000114,0.07000000000000028,0.08000000000000007
12,1990-01-19,0.2599999999999998,0.0600000000000005,0.08999999999999986
13,1990-01-22,0.27999999999999936,0.08999999999999986,0.120000000000001
14,1990-01-23,0.33000000000000007,0.08000000000000007,0.10999999999999943
15,1990-01-24,0.45000000000000107,0.1800000000000015,0.13000000000000078
16,1990-01-25,0.46999999999999975,0.17999999999999972,0.15000000000000036
17,1990-01-26,0.5600000000000005,0.21000000000000085,0.16999999999999993
18,1990-01-29,0.5,0.1999999999999993,0.14999999999999858
19,1990-01-30,0.5099999999999998,0.20999999999999908,0.120000000000001
20,1990-01-31,0.4299999999999997,0.15000000000000036,0.11000000000000121
21,1990-02-01,0.40000000000000036,0.14000000000000057,0.08999999999999986
22,1990-02-02,0.4299999999999997,0.13000000000000078,0.08999999999999986
23,1990-02-05,0.4499999999999993,0.16000000000000014,0.08999999999999986
24,1990-02-06,0.4800000000000004,0.15000000000000036,0.08999999999999986
25,1990-02-07,0.4399999999999995,0.09999999999999964,0.0600000000000005
26,1990-02-08,0.41000000000000014,0.120000000000001,0.05000000000000071
27,1990-02-09,0.2900000000000009,0.0600000000000005,0.07000000000000028
28,1990-02-12,0.41000000000000014,0.08000000000000007,0.0600000000000005
29,1990-02-13,0.5099999999999998,0.1399999999999988,0.10000000000000142
30,1990-02-14,0.4899999999999993,0.08999999999999986,0.07000000000000028
31,1990-02-15,0.45999999999999996,0.08000000000000007,0.07000000000000028
32,1990-02-16,0.47999999999999954,0.0600000000000005,0.05000000000000071
33,1990-02-20,0.5599999999999987,0.09999999999999964,0.08000000000000007
34,1990-02-21,0.6099999999999994,0.11999999999999922,0.0600000000000005
35,1990-02-22,0.5499999999999989,0.08999999999999986,0.08000000000000007
36,1990-02-23,0.5999999999999996,0.09999999999999964,0.08999999999999986
37,1990-02-26,0.4900000000000011,0.08000000000000007,0.08999999999999986
38,1990-02-27,0.41999999999999993,0.07000000000000028,0.10999999999999943
39,1990-02-28,0.47000000000000064,0.08000000000000007,0.09999999999999964
40,1990-03-01,0.5099999999999998,0.0600000000000005,0.08000000000000007
41,1990-03-02,0.5199999999999996,0.05999999999999872,0.05000000000000071
42,1990-03-05,0.5600000000000005,0.09999999999999964,0.08000000000000007
43,1990-03-06,0.41999999999999993,0.05000000000000071,0.019999999999999574
44,1990-03-07,0.40000000000000036,0.040000000000000924,0.019999999999999574
45,1990-03-08,0.39000000000000057,-0.019999999999999574,-0.009999999999999787
46,1990-03-09,0.39000000000000057,-0.08000000000000007,-0.049999999999998934
47,1990-03-12,0.370000000000001,-0.08000000000000007,-0.05000000000000071
48,1990-03-13,0.47000000000000064,-0.03999999999999915,-0.02999999999999936
49,1990-03-14,0.41999999999999993,-0.03999999999999915,-0.0600000000000005
50,1990-03-15,0.4499999999999993,-0.05000000000000071,-0.05999999999999872
51,1990-03-16,0.40000000000000036,-0.05000000000000071,-0.05999999999999872
52,1990-03-19,0.3699999999999992,-0.08999999999999986,-0.11000000000000121
53,1990-03-20,0.28999999999999915,-0.14000000000000057,-0.1399999999999988
54,1990-03-21,0.3200000000000003,-0.1399999999999988,-0.14999999999999858
55,1990-03-22,0.35999999999999943,-0.08999999999999986,-0.07000000000000028
56,1990-03-23,0.3699999999999992,-0.08999999999999986,-0.05999999999999872
57,1990-03-26,0.379999999999999,-0.09999999999999964,-0.049999999999998934
58,1990-03-27,0.34999999999999964,-0.07000000000000028,-0.07000000000000028
59,1990-03-28,0.39000000000000057,-0.0600000000000005,-0.05999999999999872
60,1990-03-29,0.5,-0.019999999999999574,-0.019999999999999574
61,1990-03-30,0.5800000000000001,0.009999999999999787,-0.019999999999999574
62,1990-04-02,0.5999999999999996,0.030000000000001137,-0.019999999999999574
63,1990-04-03,0.5400000000000009,0.02000000000000135,-0.030000000000001137
64,1990-04-04,0.5400000000000009,0.010000000000001563,-0.040000000000000924
65,1990-04-05,0.5500000000000007,0.030000000000001137,-0.05000000000000071
66,1990-04-06,0.5400000000000009,0.040000000000000924,-0.030000000000001137
67,1990-04-09,0.5,0.05000000000000071,-0.02999999999999936
68,1990-04-10,0.5499999999999989,0.0600000000000005,-0.009999999999999787
69,1990-04-11,0.6000000000000014,0.07000000000000028,-0.019999999999999574
70,1990-04-12,0.620000000000001,0.07000000000000028,-0.019999999999999574
71,1990-04-16,0.6699999999999999,0.07000000000000028,-0.009999999999999787
72,1990-04-17,0.7400000000000002,0.07000000000000028,0.009999999999999787
73,1990-04-18,0.7799999999999994,0.07000000000000028,0.009999999999999787
74,1990-04-19,0.8099999999999987,0.05999999999999872,0.019999999999999574
75,1990-04-20,0.9999999999999991,0.129999999999999,0.049999999999998934
