,Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1
0,1928-01-03,17.76,17.76,17.76,17.76,17.76,,
1,1928-01-04,17.72,17.72,17.72,17.72,17.72,,-0.0022573363431152766
2,1928-01-05,17.55,17.55,17.55,17.55,17.55,,-0.00968660968660958
3,1928-01-06,17.66,17.66,17.66,17.66,17.66,,0.006228765571913897
4,1928-01-09,17.5,17.5,17.5,17.5,17.5,,-0.00914285714285715
5,1928-01-10,17.37,17.37,17.37,17.37,17.37,,-0.007484168105929706
6,1928-01-11,17.35,17.35,17.35,17.35,17.35,,-0.0011527377521613586
7,1928-01-12,17.47,17.47,17.47,17.47,17.47,,0.0068689181453919545
8,1928-01-13,17.58,17.58,17.58,17.58,17.58,,0.0062571103526734605
9,1928-01-16,17.29,17.29,17.29,17.29,17.29,,-0.01677270098322725
10,1928-01-17,17.3,17.3,17.3,17.3,17.3,,0.0005780346820810152
11,1928-01-18,17.26,17.26,17.26,17.26,17.26,,-0.0023174971031285716
12,1928-01-19,17.38,17.38,17.38,17.38,17.38,,0.006904487917145998
13,1928-01-20,17.48,17.48,17.48,17.48,17.48,,0.005720823798627084
14,1928-01-23,17.64,17.64,17.64,17.64,17.64,,0.009070294784580506
15,1928-01-24,17.71,17.71,17.71,17.71,17.71,,0.0039525691699604905
16,1928-01-25,17.52,17.52,17.52,17.52,17.52,,-0.010844748858447563
17,1928-01-26,17.63,17.63,17.63,17.63,17.63,,0.006239364719228556
18,1928-01-27,17.69,17.69,17.69,17.69,17.69,,0.00339174674957616
19,1928-01-30,17.49,17.49,17.49,17.49,17.49,,-0.011435105774728579
20,1928-01-31,17.57,17.57,17.57,17.57,17.57,,0.0045532157085943
21,1928-02-01,17.53,17.53,17.53,17.53,17.53,,-0.002281802624072969
22,1928-02-02,17.63,17.63,17.63,17.63,17.63,,0.005672149744753141
23,1928-02-03,17.4,17.4,17.4,17.4,17.4,,-0.013218390804597727
24,1928-02-06,17.45,17.45,17.45,17.45,17.45,,0.0028653295128940235
25,1928-02-07,17.44,17.44,17.44,17.44,17.44,,-0.0005733944954127299
26,1928-02-08,17.49,17.49,17.49,17.49,17.49,,0.002858776443681942
27,1928-02-09,17.55,17.55,17.55,17.55,17.55,,0.003418803418803548
28,1928-02-10,17.54,17.54,17.54,17.54,17.54,,-0.0005701254275941598
29,1928-02-14,17.44,17.44,17.44,17.44,17.44,,-0.0057339449541283175
30,1928-02-15,17.4,17.4,17.4,17.4,17.4,,-0.002298850574712799
31,1928-02-16,17.35,17.35,17.35,17.35,17.35,,-0.002881844380403294
32,1928-02-17,17.04,17.04,17.04,17.04,17.04,,-0.018192488262910932
33,1928-02-20,16.95,16.95,16.95,16.95,16.95,,-0.005309734513274328
34,1928-02-21,17.11,17.11,17.11,17.11,17.11,,0.009351256575102287
35,1928-02-23,17.13,17.13,17.13,17.13,17.13,,0.0011675423234091989
36,1928-02-24,17.18,17.18,17.18,17.18,17.18,,0.0029103608847497503
37,1928-02-27,17.11,17.11,17.11,17.11,17.11,,-0.004091174751607264
38,1928-02-28,17.16,17.16,17.16,17.16,17.16,,0.002913752913752955
39,1928-02-29,17.26,17.26,17.26,17.26,17.26,,0.005793742757821635
40,1928-03-01,17.3,17.3,17.3,17.3,17.3,,0.00231213872832365
41,1928-03-02,17.3,17.3,17.3,17.3,17.3,,0.0
42,1928-03-05,17.57,17.57,17.57,17.57,17.57,,0.015367103016505382
43,1928-03-06,17.67,17.67,17.67,17.67,17.67,,0.005659309564233244
44,1928-03-07,17.58,17.58,17.58,17.58,17.58,,-0.00511945392491487
45,1928-03-08,17.64,17.64,17.64,17.64,17.64,,0.0034013605442178158
46,1928-03-09,17.93,17.93,17.93,17.93,17.93,,0.016174010039040666
47,1928-03-12,18.0,18.0,18.0,18.0,18.0,,0.003888888888888905
48,1928-03-13,17.92,17.92,17.92,17.92,17.92,,-0.004464285714285619
49,1928-03-14,17.93,17.93,17.93,17.93,17.93,,0.0005577244841047412
50,1928-03-15,18.07,18.07,18.07,18.07,18.07,,0.007747648035417851
51,1928-03-16,18.26,18.26,18.26,18.26,18.26,,0.01040525739320927
52,1928-03-19,18.36,18.36,18.36,18.36,18.36,,0.005446623093681801
53,1928-03-20,18.46,18.46,18.46,18.46,18.46,,0.005417118093174508
54,1928-03-21,18.65,18.65,18.65,18.65,18.65,,0.010187667560321594
55,1928-03-22,18.6,18.6,18.6,18.6,18.6,,-0.0026881720430106
56,1928-03-23,18.78,18.78,18.78,18.78,18.78,,0.009584664536741198
57,1928-03-26,19.05,19.05,19.05,19.05,19.05,,0.01417322834645667
58,1928-03-27,18.94,18.94,18.94,18.94,18.94,,-0.0058078141499471716
59,1928-03-28,18.89,18.89,18.89,18.89,18.89,,-0.002646903123345723
60,1928-03-29,18.95,18.95,18.95,18.95,18.95,,0.0031662269129286926
61,1928-03-30,19.28,19.28,19.28,19.28,19.28,,0.017116182572614203
62,1928-04-02,18.91,18.91,18.91,18.91,18.91,,-0.019566367001586513
63,1928-04-03,19.02,19.02,19.02,19.02,19.02,,0.005783385909568845
64,1928-04-04,18.99,18.99,18.99,18.99,18.99,,-0.0015797788309637251
65,1928-04-05,19.23,19.23,19.23,19.23,19.23,,0.012480499219968902
66,1928-04-09,19.27,19.27,19.27,19.27,19.27,,0.0020757654385054045
67,1928-04-10,19.1,19.1,19.1,19.1,19.1,,-0.008900523560209327
68,1928-04-11,19.44,19.44,19.44,19.44,19.44,,0.017489711934156372
69,1928-04-12,19.41,19.41,19.41,19.41,19.41,,-0.0015455950540958854
70,1928-04-13,19.73,19.73,19.73,19.73,19.73,,0.016218955904713648
71,1928-04-16,19.68,19.68,19.68,19.68,19.68,,-0.002540650406504101
72,1928-04-17,19.52,19.52,19.52,19.52,19.52,,-0.008196721311475417
73,1928-04-18,19.52,19.52,19.52,19.52,19.52,,0.0
74,1928-04-19,19.63,19.63,19.63,19.63,19.63,,0.005603667855323456
75,1928-04-20,19.34,19.34,19.34,19.34,19.34,,-0.014994829369182996
76,1928-04-23,19.15,19.15,19.15,19.15,19.15,,-0.00992167101827683
77,1928-04-24,19.25,19.25,19.25,19.25,19.25,,0.0051948051948052685
78,1928-04-25,19.33,19.33,19.33,19.33,19.33,,0.0041386445938954115
79,1928-04-26,19.47,19.47,19.47,19.47,19.47,,0.007190549563430949
80,1928-04-27,19.68,19.68,19.68,19.68,19.68,,0.010670731707317117
81,1928-04-30,19.75,19.75,19.75,19.75,19.75,,0.0035443037974683686
82,1928-05-01,19.78,19.78,19.78,19.78,19.78,,0.0015166835187058207
