Year,Quarter,        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local,Residual,Month,Date
1992,Q2,9643.9,6215.3,---,---,---,---,1227.4,---,---,---,---,---,---,---,---,779.6,---,---,843.5,---,---,2407.4,---,---,---,---,-172.1,6,6/25/1992
1992,Q3,9739.2,6281.9,---,---,---,---,1237.2,---,---,---,---,---,---,---,---,796.1,---,---,856.8,---,---,2422.7,---,---,---,---,-169.3,9,9/25/1992
1992,Q4,9840.8,6356.8,---,---,---,---,1274.9,---,---,---,---,---,---,---,---,800.1,---,---,877.3,---,---,2422.4,---,---,---,---,-167.5,12,12/25/1992
1993,Q1,9857.2,6381.2,---,---,---,---,1305,---,---,---,---,---,---,---,---,801.9,---,---,896.3,---,---,2392.4,---,---,---,---,-181,3,3/25/1993
1993,Q2,9914.6,6439.2,---,---,---,---,1312.5,---,---,---,---,---,---,---,---,811.5,---,---,914.8,---,---,2392.6,---,---,---,---,-162.9,6,6/25/1993
1993,Q3,9961.9,6510.9,---,---,---,---,1303.6,---,---,---,---,---,---,---,---,809.3,---,---,926.8,---,---,2396,---,---,---,---,-133.5,9,9/25/1993
1993,Q4,10097.4,6568,---,---,---,---,1372.1,---,---,---,---,---,---,---,---,835.4,---,---,964.1,---,---,2404.4,---,---,---,---,-138.8,12,12/25/1993
1994,Q1,10195.3,6643.2,---,---,---,---,1424.4,---,---,---,---,---,---,---,---,843.6,---,---,986.5,---,---,2374.7,---,---,---,---,-168.1,3,3/25/1994
1994,Q2,10333.5,6694.8,---,---,---,---,1494.4,---,---,---,---,---,---,---,---,872.1,---,---,1023.3,---,---,2386.5,---,---,---,---,-206.8,6,6/25/1994
1994,Q3,10393.9,6745.9,---,---,---,---,1470,---,---,---,---,---,---,---,---,904.7,---,---,1052,---,---,2426.7,---,---,---,---,-173.7,9,9/25/1994
1994,Q4,10513,6818.8,---,---,---,---,1530.5,---,---,---,---,---,---,---,---,925.6,---,---,1081.6,---,---,2405.6,---,---,---,---,-187.5,12,12/25/1994
1995,Q1,10550.3,6835.8,---,---,---,---,1546.5,---,---,---,---,---,---,---,---,943.4,---,---,1105.4,---,---,2414,---,---,---,---,-169.1,3,3/25/1995
1995,Q2,10581.7,6895.7,---,---,---,---,1514.4,---,---,---,---,---,---,---,---,956.6,---,---,1115.9,---,---,2422.1,---,---,---,---,-139.8,6,6/25/1995
1995,Q3,10671.7,6958.2,---,---,---,---,1505.4,---,---,---,---,---,---,---,---,998,---,---,1119.7,---,---,2415.7,---,---,---,---,-97,9,9/25/1995
1995,Q4,10744.2,7006.7,---,---,---,---,1542.8,---,---,---,---,---,---,---,---,1012.3,---,---,1134,---,---,2390.5,---,---,---,---,-91.8,12,12/25/1995
1996,Q1,10824.7,7071.4,---,---,---,---,1567.6,---,---,---,---,---,---,---,---,1024.5,---,---,1170.9,---,---,2406.2,---,---,---,---,-76.5,3,3/25/1996
1996,Q2,11005.2,7147.4,---,---,---,---,1642.9,---,---,---,---,---,---,---,---,1041.1,---,---,1197.1,---,---,2436.2,---,---,---,---,-100.1,6,6/25/1996
1996,Q3,11103.9,7190.7,---,---,---,---,1717.5,---,---,---,---,---,---,---,---,1049.5,---,---,1235.9,---,---,2436.2,---,---,---,---,-131,9,9/25/1996
1996,Q4,11219.2,7248,---,---,---,---,1715.2,---,---,---,---,---,---,---,---,1115,---,---,1260.3,---,---,2453,---,---,---,---,-96.5,12,12/25/1996
1997,Q1,11291.7,7324.4,---,---,---,---,1749.9,---,---,---,---,---,---,---,---,1136.2,---,---,1314.1,---,---,2440.2,---,---,---,---,-82.1,3,3/25/1997
1997,Q2,11479.3,7357.4,---,---,---,---,1857,---,---,---,---,---,---,---,---,1181.6,---,---,1358.2,---,---,2471.9,---,---,---,---,-174.8,6,6/25/1997
1997,Q3,11622.9,7482.7,---,---,---,---,1883,---,---,---,---,---,---,---,---,1208.9,---,---,1408.3,---,---,2483.3,---,---,---,---,-122.8,9,9/25/1997
1997,Q4,11722.7,7572.1,---,---,---,---,1911,---,---,---,---,---,---,---,---,1207.3,---,---,1438.7,---,---,2495.8,---,---,---,---,-128.6,12,12/25/1997
1998,Q1,11839.9,7648.7,---,---,---,---,1994.4,---,---,---,---,---,---,---,---,1212.9,---,---,1492.6,---,---,2486.8,---,---,---,---,-166.6,3,3/25/1998
1998,Q2,11949.5,7783.4,---,---,---,---,1982.1,---,---,---,---,---,---,---,---,1199.5,---,---,1526.8,---,---,2530.4,---,---,---,---,-75.5,6,6/25/1998
1998,Q3,12099.2,7884.9,---,---,---,---,2033,---,---,---,---,---,---,---,---,1193.9,---,---,1547.4,---,---,2549.4,---,---,---,---,-85.9,9,9/25/1998
1998,Q4,12294.7,7998.8,---,---,---,---,2095.8,---,---,---,---,---,---,---,---,1238.1,---,---,1597.5,---,---,2564.5,---,---,---,---,-88.4,12,12/25/1998
1999,Q1,12410.8,8081,---,---,---,---,2153.3,---,---,---,---,---,---,---,---,1234.5,---,---,1642.6,---,---,2582.9,---,---,---,---,-116.3,3,3/25/1999
1999,Q2,12514.4,8204.8,---,---,---,---,2154.7,---,---,---,---,---,---,---,---,1249.6,---,---,1689.8,---,---,2592.2,---,---,---,---,-47,6,6/25/1999
1999,Q3,12680,8297,---,---,---,---,2213.8,---,---,---,---,---,---,---,---,1287.2,---,---,1750.9,---,---,2623.4,---,---,---,---,-52.9,9,9/25/1999
1999,Q4,12888.3,8418.3,---,---,---,---,2273.1,---,---,---,---,---,---,---,---,1314.6,---,---,1795.7,---,---,2664.2,---,---,---,---,-105.6,12,12/25/1999
2000,Q1,12935.3,8545.6,---,---,---,---,2257.1,---,---,---,---,---,---,---,---,1333.7,---,---,1863.5,---,---,2645.3,---,---,---,---,-4.4,3,3/25/2000
2000,Q2,13170.7,8625.4,---,---,---,---,2390.7,---,---,---,---,---,---,---,---,1374.3,---,---,1922.9,---,---,2671.4,---,---,---,---,-91.8,6,6/25/2000
2000,Q3,13183.9,8708.1,---,---,---,---,2367.3,---,---,---,---,---,---,---,---,1407.3,---,---,1992,---,---,2660.1,---,---,---,---,-54.2,9,9/25/2000
2000,Q4,13262.3,8784.2,---,---,---,---,2371.8,---,---,---,---,---,---,---,---,1393.3,---,---,1995,---,---,2676.4,---,---,---,---,-50.9,12,12/25/2000
2001,Q1,13219.3,8816,---,---,---,---,2264.2,---,---,---,---,---,---,---,---,1375.8,---,---,1969.2,---,---,2718.3,---,---,---,---,59.7,3,3/25/2001
2001,Q2,13301.4,8833.7,---,---,---,---,2267.4,---,---,---,---,---,---,---,---,1335.4,---,---,1906.2,---,---,2765.4,---,---,---,---,8.3,6,6/25/2001
2001,Q3,13248.1,8864.5,---,---,---,---,2218.4,---,---,---,---,---,---,---,---,1267,---,---,1863,---,---,2762.7,---,---,---,---,45.3,9,9/25/2001
2001,Q4,13284.9,9007.5,---,---,---,---,2108.5,---,---,---,---,---,---,---,---,1222.9,---,---,1843.7,---,---,2808.5,---,---,---,---,99,12,12/25/2001
2002,Q1,13394.9,9027.5,2920.5,806.1,2148.2,6117.2,2170.7,2189.1,1492.6,506.9,610,417.3,675.9,-7.8,-646.4,1249.6,878.1,371.7,1896,1571.5,323.7,2857.3,946.8,593.4,353.2,1923.7,-103.6,3,3/25/2002
2002,Q2,13477.4,9073.2,2928.6,811.2,2149.7,6156,2206.4,2186.7,1475.8,479.4,607.1,421.6,692.6,33.1,-672.8,1286.8,907.3,379.6,1959.6,1640.1,318.9,2879.3,965.2,603.3,361.5,1926.3,-92.4,6,6/25/2002
2002,Q3,13531.7,9136.7,2964.8,835.5,2153.3,6181,2203.1,2183.5,1471,456.9,612.9,424.6,694.7,28.7,-693.6,1290.9,912.9,378.1,1984.5,1671.1,313,2894.2,974.7,607.8,366.5,1931.3,-68.2,9,9/25/2002
2002,Q4,13549.4,9187.5,2976.6,827.9,2179.1,6220.6,2201.7,2174.3,1451.2,450.9,601.2,422.6,707.2,43.4,-748.3,1271.8,890.7,381.4,2020.1,1692.6,326.9,2915.6,991.3,620.1,370.9,1935.3,-82.1,12,12/25/2002
2003,Q1,13619.4,9232.8,2993,828.6,2196.7,6248.9,2218.7,2194,1458.4,448.1,603.4,428.9,720.2,39.9,-743.4,1267.9,901.5,366.5,2011.3,1690.8,320.3,2917.9,1002.5,630.3,372,1925.3,-79.6,3,3/25/2003
2003,Q2,13741.1,9338.5,3058.2,866.3,2214.3,6285.6,2234,2246.8,1498.7,460.2,627.2,433.1,731.7,-9.2,-770.5,1270.1,902.5,367.7,2040.7,1734.6,306.9,2944.7,1037.1,659.9,377.2,1914.9,-48.5,6,6/25/2003
2003,Q3,13970.2,9470.5,3144.2,904.6,2255.2,6327.2,2315.4,2319.7,1530.5,458.6,647.6,441.8,773.6,2.8,-767.8,1304.8,923.5,381.4,2072.6,1747,325.4,2951.2,1036.8,656.6,380.1,1921.9,-32.5,9,9/25/2003
2003,Q4,14131.4,9535.7,3172.5,917.7,2268.1,6363.6,2393.4,2361.9,1549.8,459.5,659,447,796.6,46.2,-774.9,1363.5,965.2,398.4,2138.4,1803.8,334.5,2969.1,1056.1,675.5,380.6,1919.2,-26.9,12,12/25/2003
2004,Q1,14212.3,9624.6,3208.2,933.7,2285.5,6416.3,2398.2,2355.4,1534.4,450.3,650.6,447.8,805.9,58.7,-804,1394.3,982,412.3,2198.3,1856.1,342.3,2982.7,1067.6,685.3,382.4,1920.6,-20.7,3,3/25/2004
2004,Q2,14323,9677.2,3219.3,936.1,2294.7,6458.4,2493.9,2419.8,1572.8,453.3,678.4,452.1,831.4,97.7,-861.4,1423.5,1000.4,423.2,2284.9,1933.7,351.7,2990.8,1073.9,688.3,385.7,1922.1,-13.3,6,6/25/2004
2004,Q3,14457.8,9790.8,3264.4,960.3,2311.1,6526.4,2532.6,2471.2,1617.8,460.7,701.9,464.3,837.4,83.1,-888.4,1428.2,1012,416.2,2316.6,1959.6,357.3,2996.3,1085.7,703.1,382.8,1914.9,0.6,9,9/25/2004
2004,Q4,14605.6,9901.6,3308.1,978.5,2334.7,6592.9,2585.5,2516.3,1651,461.1,723.4,472.7,848.9,91.1,-908.5,1462.1,1029.8,432.3,2370.6,2008.9,362.3,2994.6,1083.7,694.4,389.4,1915.3,12.5,12,12/25/2004
2005,Q1,14767.8,9964.5,3333.4,983.1,2356.6,6630,2658.2,2560.4,1675,467.3,730,484.1,868.9,124.9,-901.5,1489.5,1049.2,440.4,2391,2031.9,360,3009.6,1095.8,706.6,389.2,1917.6,11.7,3,3/25/2005
2005,Q2,14839.7,10074.9,3382.7,1009.3,2375.3,6690.2,2622.8,2603.8,1702,465.4,748.2,492.2,885,24.7,-900.2,1522.7,1082.2,440.7,2423,2061,363.1,3007.8,1094.6,708.7,386.1,1917,38.9,6,6/25/2005
2005,Q3,14956.3,10158.5,3414.9,1029,2384.1,6741.2,2657.5,2649.3,1737.5,463.4,775.4,499.1,894.7,7.9,-914.2,1522.4,1083.4,439.2,2436.6,2069.8,367.8,3017.8,1103.1,712.1,391,1918.2,55,9,9/25/2005
2005,Q4,15041.2,10177.2,3407.7,998.2,2417.5,6768.1,2743.8,2661.2,1750.9,468.2,786.2,497,892.9,97.4,-945.5,1569.6,1115.7,454,2515.1,2140.5,375.6,3020.1,1103.5,706.8,396.8,1920.2,38.4,12,12/25/2005
2006,Q1,15244.1,10288.2,3478.3,1037.9,2442.3,6806.4,2784.6,2711.2,1809.7,485.7,821.1,503.1,884.6,102.7,-933.7,1633.2,1165.2,468.2,2566.9,2173.1,394.5,3058.5,1132.2,722.5,409.7,1928.9,33.5,3,3/25/2006
2006,Q2,15281.5,10341.6,3483.3,1038.3,2447.2,6855.4,2766.6,2696.6,1841.3,500.7,830.5,511.8,840.3,92.7,-929,1663.4,1185.5,478.2,2592.5,2197.8,395.5,3057.6,1124.4,721.5,403.1,1936.2,33.4,6,6/25/2006
2006,Q3,15304.5,10408,3514,1053.2,2461.3,6890.7,2756,2679.3,1872.9,510.1,837.2,528,793.8,97.3,-957.1,1661.2,1189.7,471.8,2618.4,2226.8,392.7,3053.1,1114.3,706.9,407.4,1942.4,34.1,9,9/25/2006
2006,Q4,15433.6,10507.2,3563.2,1068,2495.5,6940,2702.5,2660.3,1892.7,510.3,841.7,543.1,756.9,55.7,-890.7,1724.3,1225.2,499.3,2615,2209.9,405.6,3078.2,1130.4,728.5,402,1951,32.1,12,12/25/2006
2007,Q1,15479,10572.1,3588.2,1082.4,2503.9,6979.7,2683.9,2658.1,1926.8,529.4,853.4,547.7,722.7,27.5,-894.6,1758.4,1237.6,520.9,2653.1,2238.8,414.8,3082.5,1123.7,722.5,401.3,1962.4,41.3,3,3/25/2007
2007,Q2,15577.8,10599.8,3596.6,1093.7,2498.7,6999,2713.5,2670.6,1969.6,558.8,865.3,551.4,694.3,56.4,-882.1,1785.1,1255,530.1,2667.2,2248.3,419.2,3110.7,1142.1,738.7,403.4,1971.8,28.8,6,6/25/2007
2007,Q3,15671.6,10670.5,3619.3,1107.1,2506.5,7047.2,2686.1,2655.4,2000.5,585.6,869.7,553.3,650.1,43.4,-841.3,1840.8,1289.3,551.4,2682.1,2256.5,425.7,3124.9,1152.1,743.4,408.7,1975.8,22.2,9,9/25/2007
2007,Q4,15767.1,10712.6,3626.4,1115.4,2504.5,7082.3,2653.1,2629.9,2031.3,600.6,874.8,565,596.1,35,-773.7,1883.1,1317.1,565.8,2656.8,2234,422.6,3149.5,1171.3,756.8,414.6,1980.8,15.1,12,12/25/2007
2008,Q1,15702.9,10697.9,3566.8,1079.3,2485.1,7128.8,2583.3,2589.1,2039.4,603.3,870,575.5,548.7,1.6,-753.7,1913,1342.1,570.9,2666.7,2232.3,434,3156.9,1189.1,769.2,420,1970,4.8,3,3/25/2008
2008,Q2,15792.8,10727.3,3561.5,1071.7,2488.9,7164,2536.4,2567.9,2043.5,613.3,859.5,581.1,523.8,-25.4,-672.3,1969.2,1388,581.1,2641.5,2213.5,427.4,3184.3,1214.5,783.1,431.5,1971.6,1.5,6,6/25/2008
2008,Q3,15709.6,10644.7,3486.8,1035.5,2452.6,7157.6,2485.5,2503,2005.4,609.6,832.5,574.4,497.2,-19.3,-647.8,1960.4,1389,571.3,2608.2,2172.2,436,3210,1230.3,800.9,429.4,1981.5,5.6,9,9/25/2008
2008,Q4,15366.6,10548.9,3380.5,959.3,2429.2,7169.3,2246.4,2337.8,1888.6,595.5,735.7,570.3,448.8,-87.6,-668.9,1845,1278.8,566.4,2513.8,2065.9,448.1,3231.9,1246.3,812.9,433.4,1987.3,-18.5,12,12/25/2008
2009,Q1,15187.5,10522.1,3381.4,961,2428.3,7141.1,1986.8,2151.9,1746.3,551.3,653.7,554.7,405.3,-179,-577.3,1697.6,1145.4,551.6,2274.9,1835.9,436.9,3268.8,1262.8,815.4,447.4,2007.7,-23.5,3,3/25/2009
2009,Q2,15161.8,10470.4,3359.6,954,2413.7,7110.6,1872.3,2073.9,1693.2,509,627.8,568.6,380.4,-228.3,-473.7,1708.8,1139.1,568.8,2182.5,1742.4,436.6,3316.6,1292.8,836.4,456.4,2025.2,-21,6,6/25/2009
2009,Q3,15216.6,10540.8,3418.2,1000.3,2421.4,7122.3,1868,2081.6,1683.3,474.3,643.7,574.5,398.1,-245.1,-500.5,1772,1195,576.5,2272.5,1829,441.3,3325.7,1304.6,842.8,461.8,2022.3,-1,9,9/25/2009
2009,Q4,15379.2,10529.2,3399.9,976.7,2429.1,7129,2040.7,2092,1694.5,434.1,673.5,591.9,397.2,-56.8,-513.6,1871.5,1277.8,593.7,2385.1,1933.2,450.5,3331.6,1324,852.3,471.8,2008.4,-15.9,12,12/25/2009
2010,Q1,15456.1,10590.2,3425.5,988.7,2442.1,7164.6,2087.2,2091,1706.4,405.1,721.1,581.9,384.4,-5,-531.8,1916.2,1314.9,601.3,2448,1992.5,454.6,3317.3,1338.8,857.1,481.8,1978.9,-13.7,3,3/25/2010
2010,Q2,15605.6,10685.1,3472.2,1019.8,2455.5,7213.1,2196.7,2167.1,1762.3,416.8,768.1,579,404.4,33.3,-601.3,1958.4,1352.9,605.6,2559.7,2102.2,457.3,3327.6,1356.4,863.1,493.2,1971.3,-10.9,6,6/25/2010
2010,Q3,15726.3,10761.4,3498.3,1035.9,2464.6,7263.2,2294.7,2178.7,1810.1,410.7,809.5,590.3,368.6,128.8,-634.9,2014.2,1384.8,629.4,2649.1,2181.5,467.7,3304.1,1350.2,861.4,488.7,1953.9,-14.3,9,9/25/2010
2010,Q4,15808,10827.3,3546.9,1064.9,2483,7280.7,2287.4,2220,1845.2,418.6,825.9,601.3,374.7,72.1,-589.5,2069.3,1425.2,644.1,2658.9,2192.8,466.2,3283,1348,863.6,484.4,1934.9,-6.4,12,12/25/2010
2011,Q1,15769.9,10868.7,3564.6,1074.2,2491.3,7304.2,2244.2,2216.2,1842.7,387.8,846.3,607.4,373.4,32.8,-584.8,2087.1,1440.4,646.6,2671.9,2213.9,458.1,3242.8,1329,847.8,481.2,1913.8,-5.3,3,3/25/2011
2011,Q2,15876.8,10879.9,3551.5,1066.6,2486,7328.6,2336.1,2268,1890.4,414.8,858,617.4,377.6,71.3,-559.5,2122.3,1462.1,660.2,2681.9,2213.1,468.8,3220.8,1323.9,851.4,472.5,1896.9,-4.6,6,6/25/2011
2011,Q3,15870.7,10913,3552.7,1076.1,2477.5,7360.5,2343.8,2363.3,1978.9,439.4,909.7,629.9,384.4,-17.7,-560.1,2151.5,1475.8,675.8,2711.6,2235.6,476,3174.8,1295.1,839.7,455.4,1879.8,-4,9,9/25/2011
2011,Q4,16048.7,10931.8,3578.4,1101.8,2476.9,7353.4,2524.4,2423.7,2029.4,454.5,930.7,644.3,394.4,100.4,-579.6,2167.7,1507.7,659.9,2747.2,2273.6,473.4,3172.5,1299.9,832.5,467.5,1872.6,-0.8,12,12/25/2011
2012,Q1,16180,11010.7,3623.8,1128.8,2495,7386.8,2577.2,2499.4,2081.3,476,959.6,645.7,418.3,72.8,-566.7,2194.1,1515,679.1,2760.7,2285.8,474.8,3158.9,1299.9,827.1,472.8,1859,4.6,3,3/25/2012
2012,Q2,16253.7,11030,3623.1,1130.9,2492.2,7406.8,2636.5,2549.8,2128,487.4,986.7,653.9,421.9,87.1,-555.3,2215.8,1533.6,682.2,2771,2293.6,477.4,3142.4,1289.5,817,472.5,1852.9,-0.3,6,6/25/2012
2012,Q3,16282.2,11052.4,3639.1,1145.6,2493.4,7413.3,2648.5,2553.6,2120.9,481.8,983.8,655.2,432.7,98,-556.5,2229.4,1542.8,686.6,2785.9,2307.9,478,3137.7,1292.2,819.1,473.1,1845.5,-2.8,9,9/25/2012
2012,Q4,16300,11096.4,3665,1171.6,2493.5,7431.5,2624.9,2599.4,2144,472.5,1003.4,668,455.2,27,-528,2231.6,1527.1,704.5,2759.6,2285.7,474,3106.9,1266.4,793.5,472.9,1840.5,-1.5,12,12/25/2012
2013,Q1,16441.5,11155.5,3728,1201.6,2526.6,7428.2,2722.8,2643.9,2171.6,462.1,1021.1,688.6,471.8,81.2,-515,2242.3,1537.3,704.9,2757.3,2296.9,460.6,3078.9,1237.4,774.1,463.3,1841.3,-3.1,3,3/25/2013
2013,Q2,16464.4,11172.6,3730.7,1207.1,2524,7442.6,2753.2,2665.3,2177.5,475.8,1019,682.9,486.8,85.8,-534.8,2262.5,1561.2,701.3,2797.3,2334.6,463,3073.7,1227.4,769.2,458.1,1846,2.3,6,6/25/2013
2013,Q3,16594.7,11214.4,3757.4,1217.3,2540.5,7458,2859.8,2711.3,2214.7,499.8,1019,695.8,495.5,147.6,-535.4,2282,1569.6,712.2,2817.4,2354.6,463.2,3057.2,1209.6,753.4,456.1,1847,0.8,9,9/25/2013
2013,Q4,16712.8,11304.3,3792.8,1230.3,2562.8,7512.5,2870.1,2748,2260,504.2,1057.9,698.1,487.7,120,-492.1,2347.6,1630.1,717.7,2839.7,2371.1,468.9,3033.1,1188.9,741.6,447.2,1843.4,-1,12,12/25/2013
2014,Q1,16654.2,11347.6,3818.1,1249.9,2568.8,7531.1,2838.3,2775.6,2291.7,521.9,1066.9,702.5,484.3,58.3,-551.5,2324.8,1601.6,723,2876.3,2400.3,476.2,3020.6,1187.7,732.4,455.1,1832.2,2.9,3,3/25/2014
2014,Q2,16868.1,11453,3886.7,1294.8,2593.6,7569.4,2958.1,2852.8,2353.3,540.3,1093.6,718.5,499.8,98.6,-566.7,2375.1,1643.7,731.6,2941.8,2467.6,475.2,3024.4,1180.7,727.8,452.8,1842.7,3.8,6,6/25/2014
2014,Q3,17064.6,11565.7,3931.5,1318.3,2615.2,7637.7,3018.6,2907.3,2400.8,542.2,1127,731.4,507.1,106.3,-562.6,2384.8,1659.9,725.6,2947.4,2473.7,474.8,3044.7,1193.9,737,456.8,1849.9,-1.4,9,9/25/2014
2014,Q4,17141.2,11694.9,3984.4,1343.3,2643.6,7714.7,3021.9,2941.2,2415.5,551,1116.9,746.6,525.2,82,-620.3,2404.4,1673.7,731.6,3024.7,2536.5,489.3,3043.2,1176.5,716.6,459.6,1865.4,-2.9,12,12/25/2014
2015,Q1,17280.6,11772.9,4032,1367.5,2667.4,7746.9,3127.3,2949.5,2412.6,545.1,1126,741.1,535.5,177.3,-683.6,2384.8,1641.3,742.7,3068.5,2591.2,480.7,3059,1181.3,714.7,466.2,1876.3,4.5,3,3/25/2015
2015,Q2,17380.9,11852.7,4074.7,1396.4,2681.8,7785.4,3136.7,2974.9,2423.6,549.1,1130.3,743.6,548.9,156.5,-699.9,2391.1,1652.5,738.6,3091.1,2609.3,485.1,3085.1,1183.5,715.3,467.8,1900,9,6,6/25/2015
2015,Q3,17437.1,11943,4120.4,1415.3,2708.7,7831.6,3130.4,2999.8,2432.4,531.8,1148.3,753.6,563.7,125.2,-746.6,2371.2,1635.5,735.4,3117.8,2628.3,492.3,3099.1,1182.3,708.4,473.3,1915.1,11.8,9,9/25/2015
2015,Q4,17462.6,12003.1,4136.5,1423.3,2716.9,7875.1,3092.7,2991.8,2412.8,510.6,1133.6,771.3,573.6,91.4,-756.7,2367.7,1626.3,740.1,3124.4,2620.7,504.4,3110.3,1191.1,714,476.6,1917.5,17.4,12,12/25/2015
2016,Q1,17565.5,12091.2,4177.9,1441.8,2740.1,7923.1,3079.4,3009.2,2410.4,491.9,1127.6,795.1,591.2,59.1,-759.3,2360.7,1634.3,727.1,3120,2619.5,501.6,3142.8,1194,713.3,480.2,1946.9,14.9,3,3/25/2016
2016,Q2,17618.6,12152.6,4214.3,1456.1,2762.3,7950.1,3063.3,3025.5,2426.1,501.5,1113.4,814.3,592,23,-744.6,2378.6,1634.1,743,3123.2,2621.5,502.7,3137.9,1184.3,702.5,481.1,1951.6,17.8,6,6/25/2016
2016,Q3,17724.5,12223.8,4255.9,1492.5,2768.5,7982.1,3069.3,3052.8,2457.8,521.4,1108.3,829.4,588.9,-6.2,-730.4,2415.6,1663.6,751.1,3146,2634.9,510.9,3153.9,1191.5,710.8,480.1,1960.4,19.4,9,9/25/2016
2016,Q4,17812.6,12283.1,4278.7,1513.4,2771.3,8018.8,3147.6,3076.5,2473.6,529,1109,836.3,596.3,66.9,-794,2398.6,1665,734.9,3192.5,2689.3,505.8,3160.5,1192.3,710,481.7,1966.2,9,12,12/25/2016
2017,Q1,17896.6,12372.2,4315.5,1523.8,2797.4,8072.1,3137.7,3124.7,2505.1,538.3,1115.7,851.2,611.8,-13,-783.2,2455.6,1698.8,757.2,3238.8,2720,520,3153.8,1183.8,703.3,479.9,1967.8,32.4,3,3/25/2017
2017,Q2,17996.8,12430.1,4361.1,1540.2,2826.8,8088.1,3192.8,3154.2,2531,538.6,1138.6,854.7,615.7,18.5,-808,2465.4,1698.4,766.2,3273.4,2743.7,530,3163.2,1193.7,717.9,475.4,1967.5,24,6,6/25/2017
2017,Q3,18126.2,12500.4,4408.3,1576.2,2839.6,8114.8,3241,3158.1,2538.7,523.8,1147.4,870.4,612.7,83.4,-790.3,2481.9,1707,773.7,3272.2,2736.5,534.8,3160.7,1193.4,716,476.9,1965.3,-9.6,9,9/25/2017
2017,Q4,18296.7,12632,4496.1,1633.3,2872.9,8165.6,3278.4,3220.3,2590.5,529.3,1180.4,884.6,623.2,45.6,-816.3,2540.1,1765.4,776.6,3356.5,2837.7,523.6,3183,1207.7,725.5,481.8,1973.4,0.4,12,12/25/2017
2018,Q1,18436.3,12707.6,4511.9,1647.8,2875.3,8223.8,3346.3,3273.2,2654,554.2,1196.6,905.2,616.5,63.5,-826.4,2551.6,1772.4,780.9,3378,2867.9,517,3189.7,1213,723.2,489.2,1974.9,-2.2,3,3/25/2018
2018,Q2,18590,12816.4,4558.8,1676.3,2895.3,8287.3,3352.5,3321.2,2698,563.7,1205.4,930.3,621.5,11.1,-807.2,2582.9,1820.3,768.7,3390.1,2869.9,525.6,3212.2,1228.1,737.1,490.5,1982.5,-4.5,6,6/25/2018
2018,Q3,18679.6,12900.6,4591.4,1692,2912.6,8339.7,3430.9,3327.9,2716.7,557.7,1221.3,940.8,612.2,101,-896.9,2542.5,1779.3,767.2,3439.4,2920.6,525.9,3220,1238.5,743.4,494.6,1980.2,-15.9,9,9/25/2018
2018,Q4,18721.3,12955.5,4615.2,1696.7,2931.3,8371.8,3449.6,3342.6,2749,538.9,1251.7,965.8,599,87.3,-926.5,2545.6,1786.6,763.9,3472.1,2938.4,539.1,3213.4,1244.2,755.8,488.3,1968.1,-6.3,12,12/25/2018
2019,Q1,18833.2,12975.1,4630.6,1693.6,2948.7,8377.8,3503.4,3372.8,2780.7,544.7,1265.2,978.5,599.1,131.7,-906.7,2565.3,1804.6,766.6,3472,2938.6,539.1,3235.2,1248.7,765.4,483.5,1985.4,-33.8,3,3/25/2019
2019,Q2,18982.5,13088.8,4709.1,1737.5,2985.4,8420.2,3526,3423.2,2826,563.2,1273.1,995.7,605.2,84.3,-935.3,2551.3,1781.1,773.5,3486.6,2938.6,551.2,3274.9,1275.5,773.4,501.9,1998.7,-20.7,6,6/25/2019
2019,Q3,19112.7,13192.3,4765.5,1773.1,3008.2,8471,3535.9,3449.3,2846.5,582,1256.4,1010.5,610.6,68.3,-931.5,2545.9,1786,764.7,3477.4,2927.3,552.3,3291.7,1286.8,781.9,504.7,2004.3,-29.3,9,9/25/2019
2019,Q4,19202.3,13249,4786.9,1794.7,3010.1,8505.9,3477.1,3439.9,2834.7,570,1240.6,1027.1,612.2,16.3,-847.6,2553.3,1782.5,773.7,3400.9,2853.9,547,3316.3,1298,793.4,504.7,2017.6,-45.4,12,12/25/2019
2020,Q1,18952,13014.5,4790.2,1738.3,3061.8,8284.4,3430.1,3419.6,2775.5,568.8,1168.3,1036.6,641.2,-30.4,-841.9,2442.1,1760.9,695.3,3283.9,2799,494.1,3346.3,1305.8,791.9,513.7,2039.7,-25.5,3,3/25/2020
2020,Q2,17258.2,11756.4,4665.8,1731.8,2949.1,7217.3,2901.9,3123,2535.7,485.8,1044,1008,584.9,-252.8,-774.8,1943,1354.5,588.8,2717.7,2363.3,372.7,3378.1,1368.4,798.2,568.6,2011,-95.1,6,6/25/2020
2020,Q3,18560.8,12820.8,5158.9,2030.6,3159.9,7815.2,3371,3318.5,2646.9,466,1166.6,1027.7,657.8,25.3,-1021.3,2166.3,1608.7,581.4,3187.5,2823.3,397.7,3360.2,1349.6,801.6,547,2011.4,-117.5,9,9/25/2020
